"CustomerID != ""CustomerID""","Gender != ""Gender""","Age != ""Age""","Annual Income (k$) != ""Annual Income (k$)""","Spending Score (1-100) != ""Spending Score (1-100)"""
1,"Male != ""Male""",19,15,39
2,"Male != ""Male""",21,15,81
3,"Female != ""Female""",20,16,6
4,"Female != ""Female""",23,16,77
5,"Female != ""Female""",31,17,40
6,"Female != ""Female""",22,17,76
7,"Female != ""Female""",35,18,6
8,"Female != ""Female""",23,18,94
9,"Male != ""Male""",64,19,3
10,"Female != ""Female""",30,19,72
11,"Male != ""Male""",67,19,14
12,"Female != ""Female""",35,19,99
13,"Female != ""Female""",58,20,15
14,"Female != ""Female""",24,20,77
15,"Male != ""Male""",37,20,13
16,"Male != ""Male""",22,20,79
17,"Female != ""Female""",35,21,35
18,"Male != ""Male""",20,21,66
19,"Male != ""Male""",52,23,29
20,"Female != ""Female""",35,23,98
21,"Male != ""Male""",35,24,35
22,"Male != ""Male""",25,24,73
23,"Female != ""Female""",46,25,5
24,"Male != ""Male""",31,25,73
25,"Female != ""Female""",54,28,14
26,"Male != ""Male""",29,28,82
27,"Female != ""Female""",45,28,32
28,"Male != ""Male""",35,28,61
29,"Female != ""Female""",40,29,31
30,"Female != ""Female""",23,29,87
31,"Male != ""Male""",60,30,4
32,"Female != ""Female""",21,30,73
33,"Male != ""Male""",53,33,4
34,"Male != ""Male""",18,33,92
35,"Female != ""Female""",49,33,14
36,"Female != ""Female""",21,33,81
37,"Female != ""Female""",42,34,17
38,"Female != ""Female""",30,34,73
39,"Female != ""Female""",36,37,26
40,"Female != ""Female""",20,37,75
41,"Female != ""Female""",65,38,35
42,"Male != ""Male""",24,38,92
43,"Male != ""Male""",48,39,36
44,"Female != ""Female""",31,39,61
45,"Female != ""Female""",49,39,28
46,"Female != ""Female""",24,39,65
47,"Female != ""Female""",50,40,55
48,"Female != ""Female""",27,40,47
49,"Female != ""Female""",29,40,42
50,"Female != ""Female""",31,40,42
51,"Female != ""Female""",49,42,52
52,"Male != ""Male""",33,42,60
53,"Female != ""Female""",31,43,54
54,"Male != ""Male""",59,43,60
55,"Female != ""Female""",50,43,45
56,"Male != ""Male""",47,43,41
